course,lane,layer,n,median,mean,p25,p75,kde_peak,low_n,median_offset_vs_label,peak_offset_vs_label,median_offset_vs_oof,median_offset_vs_test
eng1_vt2026,handcrafted,ellipse_train_label,3481,3.000,3.137,2.500,3.500,3.000,false,0.000,0.000,-0.152,-0.164
eng1_vt2026,handcrafted,ellipse_train_oof,3479,3.152,3.153,2.789,3.517,3.080,false,0.152,0.080,0.000,-0.011
eng1_vt2026,handcrafted,ellipse_test_pred,2259,3.164,3.160,2.787,3.554,3.160,false,0.164,0.160,0.011,0.000
eng1_vt2026,handcrafted,swedish_student,22,3.246,3.329,3.030,3.644,3.230,false,0.246,0.230,0.094,0.082
eng1_vt2026,combined,ellipse_train_label,3481,3.000,3.137,2.500,3.500,3.000,false,0.000,0.000,-0.130,-0.117
eng1_vt2026,combined,ellipse_train_oof,3479,3.130,3.140,2.747,3.518,3.110,false,0.130,0.110,0.000,0.013
eng1_vt2026,combined,ellipse_test_pred,2259,3.117,3.141,2.751,3.552,3.020,false,0.117,0.020,-0.013,0.000
eng1_vt2026,combined,swedish_student,22,3.379,3.451,2.979,3.787,3.150,false,0.379,0.150,0.250,0.262
eng5_vt2017,handcrafted,ellipse_train_label,3481,3.000,3.137,2.500,3.500,3.000,false,0.000,0.000,-0.152,-0.164
eng5_vt2017,handcrafted,ellipse_train_oof,3479,3.152,3.153,2.789,3.517,3.080,false,0.152,0.080,0.000,-0.011
eng5_vt2017,handcrafted,ellipse_test_pred,2259,3.164,3.160,2.787,3.554,3.160,false,0.164,0.160,0.011,0.000
eng5_vt2017,handcrafted,swedish_student,46,3.523,3.508,3.246,3.760,3.570,false,0.523,0.570,0.370,0.359
eng5_vt2017,handcrafted,swedish_anchor_full,12,3.378,3.428,3.197,3.759,3.430,false,0.378,0.430,0.226,0.214
eng5_vt2017,combined,ellipse_train_label,3481,3.000,3.137,2.500,3.500,3.000,false,0.000,0.000,-0.130,-0.117
eng5_vt2017,combined,ellipse_train_oof,3479,3.130,3.140,2.747,3.518,3.110,false,0.130,0.110,0.000,0.013
eng5_vt2017,combined,ellipse_test_pred,2259,3.117,3.141,2.751,3.552,3.020,false,0.117,0.020,-0.013,0.000
eng5_vt2017,combined,swedish_student,46,3.512,3.594,3.282,3.916,3.450,false,0.512,0.450,0.383,0.395
eng5_vt2017,combined,swedish_anchor_full,12,3.624,3.624,2.900,4.266,4.190,false,0.624,1.190,0.494,0.507
eng6_vt2023_a,handcrafted,ellipse_train_label,3481,3.000,3.137,2.500,3.500,3.000,false,0.000,0.000,-0.152,-0.164
eng6_vt2023_a,handcrafted,ellipse_train_oof,3479,3.152,3.153,2.789,3.517,3.080,false,0.152,0.080,0.000,-0.011
eng6_vt2023_a,handcrafted,ellipse_test_pred,2259,3.164,3.160,2.787,3.554,3.160,false,0.164,0.160,0.011,0.000
eng6_vt2023_a,handcrafted,swedish_student,60,3.917,3.922,3.703,4.214,3.870,false,0.917,0.870,0.764,0.753
eng6_vt2023_a,handcrafted,swedish_anchor_full,10,3.862,3.801,3.569,4.072,3.970,false,0.862,0.970,0.710,0.699
eng6_vt2023_a,combined,ellipse_train_label,3481,3.000,3.137,2.500,3.500,3.000,false,0.000,0.000,-0.130,-0.117
eng6_vt2023_a,combined,ellipse_train_oof,3479,3.130,3.140,2.747,3.518,3.110,false,0.130,0.110,0.000,0.013
eng6_vt2023_a,combined,ellipse_test_pred,2259,3.117,3.141,2.751,3.552,3.020,false,0.117,0.020,-0.013,0.000
eng6_vt2023_a,combined,swedish_student,60,3.960,3.960,3.677,4.324,3.960,false,0.960,0.960,0.830,0.843
eng6_vt2023_a,combined,swedish_anchor_full,10,4.096,3.972,3.700,4.210,4.170,false,1.096,1.170,0.967,0.979
eng6_vt2023_b,handcrafted,ellipse_train_label,3481,3.000,3.137,2.500,3.500,3.000,false,0.000,0.000,-0.152,-0.164
eng6_vt2023_b,handcrafted,ellipse_train_oof,3479,3.152,3.153,2.789,3.517,3.080,false,0.152,0.080,0.000,-0.011
eng6_vt2023_b,handcrafted,ellipse_test_pred,2259,3.164,3.160,2.787,3.554,3.160,false,0.164,0.160,0.011,0.000
eng6_vt2023_b,handcrafted,swedish_student,62,4.125,4.026,3.761,4.379,4.300,false,1.125,1.300,0.972,0.961
eng6_vt2023_b,handcrafted,swedish_anchor_full,10,3.862,3.801,3.569,4.072,3.970,false,0.862,0.970,0.710,0.699
eng6_vt2023_b,combined,ellipse_train_label,3481,3.000,3.137,2.500,3.500,3.000,false,0.000,0.000,-0.130,-0.117
eng6_vt2023_b,combined,ellipse_train_oof,3479,3.130,3.140,2.747,3.518,3.110,false,0.130,0.110,0.000,0.013
eng6_vt2023_b,combined,ellipse_test_pred,2259,3.117,3.141,2.751,3.552,3.020,false,0.117,0.020,-0.013,0.000
eng6_vt2023_b,combined,swedish_student,62,4.141,4.037,3.838,4.405,4.250,false,1.141,1.250,1.012,1.024
eng6_vt2023_b,combined,swedish_anchor_full,10,4.096,3.972,3.700,4.210,4.170,false,1.096,1.170,0.967,0.979
eng6_vt2026,handcrafted,ellipse_train_label,3481,3.000,3.137,2.500,3.500,3.000,false,0.000,0.000,-0.152,-0.164
eng6_vt2026,handcrafted,ellipse_train_oof,3479,3.152,3.153,2.789,3.517,3.080,false,0.152,0.080,0.000,-0.011
eng6_vt2026,handcrafted,ellipse_test_pred,2259,3.164,3.160,2.787,3.554,3.160,false,0.164,0.160,0.011,0.000
eng6_vt2026,handcrafted,swedish_anchor_full,9,3.685,3.686,3.420,4.071,3.810,true,0.685,0.810,0.533,0.521
eng6_vt2026,combined,ellipse_train_label,3481,3.000,3.137,2.500,3.500,3.000,false,0.000,0.000,-0.130,-0.117
eng6_vt2026,combined,ellipse_train_oof,3479,3.130,3.140,2.747,3.518,3.110,false,0.130,0.110,0.000,0.013
eng6_vt2026,combined,ellipse_test_pred,2259,3.117,3.141,2.751,3.552,3.020,false,0.117,0.020,-0.013,0.000
eng6_vt2026,combined,swedish_anchor_full,9,3.904,3.765,3.139,4.287,4.120,true,0.904,1.120,0.775,0.787
eng7_vt2017,handcrafted,ellipse_train_label,3481,3.000,3.137,2.500,3.500,3.000,false,0.000,0.000,-0.152,-0.164
eng7_vt2017,handcrafted,ellipse_train_oof,3479,3.152,3.153,2.789,3.517,3.080,false,0.152,0.080,0.000,-0.011
eng7_vt2017,handcrafted,ellipse_test_pred,2259,3.164,3.160,2.787,3.554,3.160,false,0.164,0.160,0.011,0.000
eng7_vt2017,handcrafted,swedish_student,24,4.264,4.185,3.923,4.361,4.310,false,1.264,1.310,1.112,1.101
eng7_vt2017,handcrafted,swedish_anchor_full,12,4.214,4.009,3.649,4.362,4.330,false,1.214,1.330,1.061,1.050
eng7_vt2017,combined,ellipse_train_label,3481,3.000,3.137,2.500,3.500,3.000,false,0.000,0.000,-0.130,-0.117
eng7_vt2017,combined,ellipse_train_oof,3479,3.130,3.140,2.747,3.518,3.110,false,0.130,0.110,0.000,0.013
eng7_vt2017,combined,ellipse_test_pred,2259,3.117,3.141,2.751,3.552,3.020,false,0.117,0.020,-0.013,0.000
eng7_vt2017,combined,swedish_student,24,4.335,4.217,3.965,4.531,4.430,false,1.335,1.430,1.205,1.218
eng7_vt2017,combined,swedish_anchor_full,12,4.259,4.157,3.857,4.589,4.440,false,1.259,1.440,1.130,1.142
eng7_vt2018,handcrafted,ellipse_train_label,3481,3.000,3.137,2.500,3.500,3.000,false,0.000,0.000,-0.152,-0.164
eng7_vt2018,handcrafted,ellipse_train_oof,3479,3.152,3.153,2.789,3.517,3.080,false,0.152,0.080,0.000,-0.011
eng7_vt2018,handcrafted,ellipse_test_pred,2259,3.164,3.160,2.787,3.554,3.160,false,0.164,0.160,0.011,0.000
eng7_vt2018,handcrafted,swedish_student,7,4.147,3.956,4.126,4.210,4.220,true,1.147,1.220,0.995,0.983
eng7_vt2018,handcrafted,swedish_anchor_full,9,4.094,4.063,3.998,4.402,4.150,true,1.094,1.150,0.941,0.930
eng7_vt2018,combined,ellipse_train_label,3481,3.000,3.137,2.500,3.500,3.000,false,0.000,0.000,-0.130,-0.117
eng7_vt2018,combined,ellipse_train_oof,3479,3.130,3.140,2.747,3.518,3.110,false,0.130,0.110,0.000,0.013
eng7_vt2018,combined,ellipse_test_pred,2259,3.117,3.141,2.751,3.552,3.020,false,0.117,0.020,-0.013,0.000
eng7_vt2018,combined,swedish_student,7,4.124,4.116,3.876,4.466,4.330,true,1.124,1.330,0.994,1.007
eng7_vt2018,combined,swedish_anchor_full,9,4.625,4.405,4.291,4.651,4.620,true,1.625,1.620,1.495,1.508
